Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Chlorurus_sordidus,28.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,28.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,31.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,28.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,31.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,16.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,14.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,16.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,14.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,29.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19.9,Fishery,2015,1,0,0,0,0
